name,price,emi,kilometer,fuel,transmission,link
2017 Tata Tiago,2.79 lakh,"EMI ₹5,459/m","45,407 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2017-cars-ahmedabad-11457666754/
2017 Datsun Redi Go,1.78 lakh,"EMI ₹3,490/m","55,508 km",Petrol,Manual,https://www.cars24.com/buy-used-datsun-redi-go-2017-cars-ahmedabad-14221806750/
2017 Hyundai Verna,5.56 lakh,"EMI ₹12,373/m","1,33,554 km",Diesel,Manual,https://www.cars24.com/buy-used-hyundai-verna-2017-cars-ahmedabad-11493960788/
2017 Volkswagen Ameo,3.74 lakh,"EMI ₹7,317/m","83,634 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-ameo-2017-cars-ahmedabad-11413969767/
2016 Maruti Wagon R 1.0,2.49 lakh,"EMI ₹8,260/m","85,001 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-ahmedabad-11457663704/
2021 Maruti Celerio,3.79 lakh,"EMI ₹6,690/m","61,913 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-celerio-2021-cars-ahmedabad-11486969707/
2013 Hyundai i20,2.67 lakh,"EMI ₹12,569/m","76,464 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-ahmedabad-24407364795/
2021 Tata TIGOR,4.84 lakh,"EMI ₹8,536/m","40,065 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-tigor-2021-cars-ahmedabad-11441962705/
2015 Maruti Wagon R 1.0,2.65 lakh,"EMI ₹12,474/m","95,149 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2015-cars-ahmedabad-15053267749/
2017 Hyundai Grand i10,3.25 lakh,"EMI ₹8,558/m","80,100 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-ahmedabad-11401066766/
2012 Honda Brio,1.70 lakh,"EMI ₹15,129/m","97,925 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-brio-2012-cars-ahmedabad-11457568707/
2013 Honda Brio,2.04 lakh,"EMI ₹9,590/m","92,723 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-brio-2013-cars-ahmedabad-11447263748/
2022 Renault Kwid,3.16 lakh,"EMI ₹5,578/m","56,919 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2022-cars-ahmedabad-11431064706/
2021 Hyundai Tucson,11.74 lakh,"EMI ₹20,102/m","52,235 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-tucson-2021-cars-ahmedabad-11478263746/
2021 MG ASTOR,8.41 lakh,"EMI ₹14,400/m","44,832 km",Petrol,Auto,https://www.cars24.com/buy-used-mg-astor-2021-cars-ahmedabad-11451765729/
2014 Hyundai Grand i10,2.81 lakh,"EMI ₹9,334/m","77,200 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-ahmedabad-11443465741/
2018 Hyundai Elite i20,5.61 lakh,"EMI ₹12,481/m","93,294 km",CNG,Auto,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-ahmedabad-25797668748/
2019 Honda Amaze,3.97 lakh,"EMI ₹8,831/m","1,30,757 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-amaze-2019-cars-ahmedabad-11472664702/
2022 Tata ALTROZ,5.50 lakh,"EMI ₹12,246/m","1,27,164 km",CNG,Manual,https://www.cars24.com/buy-used-tata-altroz-2022-cars-ahmedabad-11468064745/
2016 Honda Amaze,3.23 lakh,"EMI ₹7,185/m","56,575 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-amaze-2016-cars-ahmedabad-11485468761/
2016 Hyundai Creta,6.85 lakh,"EMI ₹15,237/m","52,613 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-creta-2016-cars-ahmedabad-11457766766/
2017 Maruti Dzire,3.71 lakh,"EMI ₹7,249/m","91,710 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-ahmedabad-11458563749/
2020 Tata ALTROZ,4.27 lakh,"EMI ₹7,534/m","84,233 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-altroz-2020-cars-ahmedabad-11045369723/
2018 Jeep Compass,6.12 lakh,"EMI ₹13,614/m","1,38,046 km",Diesel,Manual,https://www.cars24.com/buy-used-jeep-compass-2018-cars-ahmedabad-11444663704/
2017 Ford Figo Aspire,2.73 lakh,"EMI ₹5,337/m","90,733 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-figo-aspire-2017-cars-ahmedabad-11491462702/
2015 Honda CRV,5.24 lakh,"EMI ₹13,806/m","1,07,978 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-crv-2015-cars-ahmedabad-11415065757/
2018 Tata NEXON,3.55 lakh,"EMI ₹6,267/m","58,446 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-nexon-2018-cars-ahmedabad-11476063747/
2023 Hyundai Verna,10.95 lakh,"EMI ₹18,749/m","63,704 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-verna-2023-cars-ahmedabad-11424665702/
2021 Maruti Vitara Brezza,6.56 lakh,"EMI ₹11,588/m","60,844 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-ahmedabad-11472360703/
2015 Maruti Alto 800,2.07 lakh,"EMI ₹5,443/m","21,606 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-800-2015-cars-ahmedabad-11460069728/
2016 Ford New Figo,1.51 lakh,"EMI ₹3,369/m","1,30,729 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-new-figo-2016-cars-ahmedabad-11416500762/
2015 Hyundai i10,2.33 lakh,"EMI ₹6,131/m","32,420 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-i10-2015-cars-ahmedabad-11477863748/
2016 Ford Ecosport,4.10 lakh,"EMI ₹10,807/m","1,00,798 km",Diesel,Manual,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-ahmedabad-14292469775/
2018 Hyundai Grand i10,3.13 lakh,"EMI ₹6,968/m","1,01,431 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-ahmedabad-11415569725/
2021 Mahindra Thar,8.53 lakh,"EMI ₹14,598/m","58,423 km",Petrol,Auto,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-ahmedabad-36441007718/
2023 Mahindra XUV300,8.43 lakh,"EMI ₹14,436/m","90,866 km",Diesel,Auto,https://www.cars24.com/buy-used-mahindra-xuv300-2023-cars-ahmedabad-11433264782/
2014 Toyota Corolla Altis,3.74 lakh,"EMI ₹12,418/m","1,32,247 km",Petrol,Manual,https://www.cars24.com/buy-used-toyota-corolla-altis-2014-cars-ahmedabad-11469167720/
2020 Tata Tiago,3.36 lakh,"EMI ₹5,939/m","60,980 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2020-cars-ahmedabad-11412669741/
