name,price,emi,kilometer,fuel,transmission,link
2016 Maruti Alto K10,2.92 lakh,"EMI ₹6,497/m","60,471 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-alto-k10-2016-cars-bangalore-10203561705/
2016 Hyundai Grand i10,3.88 lakh,"EMI ₹8,623/m","68,576 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-bangalore-23631566702/
2020 Maruti Swift,5.70 lakh,"EMI ₹10,060/m","42,235 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-swift-2020-cars-bangalore-23574366742/
2015 Maruti Alto K10,2.79 lakh,"EMI ₹7,345/m","27,841 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-alto-k10-2015-cars-bangalore-10292061702/
2013 Hyundai Grand i10,2.98 lakh,"EMI ₹26,477/m","78,515 km",Diesel,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2013-cars-bangalore-10206669709/
2018 Tata Tiago,4.16 lakh,"EMI ₹7,340/m","58,769 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-tiago-2018-cars-bangalore-10247560748/
2014 Maruti Swift,4.00 lakh,"EMI ₹13,287/m","44,721 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2014-cars-bangalore-10290967740/
2014 Hyundai Grand i10,3.47 lakh,"EMI ₹11,525/m","34,694 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-bangalore-10633506743/
2018 Hyundai Grand i10,4.75 lakh,"EMI ₹8,385/m","37,434 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-bangalore-10280166700/
2019 Maruti Celerio,4.36 lakh,"EMI ₹7,699/m","67,668 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-celerio-2019-cars-bangalore-10257163702/
2021 Mahindra XUV300,6.85 lakh,"EMI ₹15,237/m","1,10,613 km",Petrol,Manual,https://www.cars24.com/buy-used-mahindra-xuv300-2021-cars-bangalore-10293160731/
2015 Skoda Rapid,3.04 lakh,"EMI ₹8,005/m","1,26,345 km",Petrol,Manual,https://www.cars24.com/buy-used-skoda-rapid-2015-cars-bangalore-10262063752/
2016 Maruti Celerio,2.81 lakh,"EMI ₹6,251/m","95,692 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-celerio-2016-cars-bangalore-10259069727/
2023 Mahindra XUV700,15.90 lakh,"EMI ₹27,225/m","21,340 km",Petrol,Auto,https://www.cars24.com/buy-used-mahindra-xuv700-2023-cars-bangalore-10282764709/
2018 Maruti Swift,5.49 lakh,"EMI ₹9,685/m","67,613 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2018-cars-bangalore-10200566706/
2018 Maruti Swift,5.69 lakh,"EMI ₹12,657/m","1,00,983 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-swift-2018-cars-bangalore-10295062709/
