name,price,emi,kilometer,fuel,transmission,link
2014 Honda City,3.49 lakh,"EMI ₹11,595/m","24,133 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-city-2014-cars-new-delhi-10063861702/
2019 Maruti Swift,3.98 lakh,"EMI ₹7,034/m","79,933 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2019-cars-noida-10583260700/
2015 Hyundai Elite i20,3.37 lakh,"EMI ₹8,874/m","27,549 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-noida-10049963763/
2023 Mahindra XUV700,15.85 lakh,"EMI ₹27,142/m","60,165 km",Petrol,Auto,https://www.cars24.com/buy-used-mahindra-xuv700-2023-cars-gurgaon-11576261700/
2023 KIA SONET,7.81 lakh,"EMI ₹13,789/m","7,223 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-sonet-2023-cars-new-delhi-10083565767/
2018 Maruti Ciaz,5.84 lakh,"EMI ₹10,308/m","44,267 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-noida-13871368739/
2025 Tata NEXON,12.16 lakh,"EMI ₹20,827/m","48,834 km",CNG,Manual,https://www.cars24.com/buy-used-tata-nexon-2025-cars-gurgaon-28856661704/
2024 KIA CARENS,10.44 lakh,"EMI ₹17,877/m","18,948 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-carens-2024-cars-new-delhi-10053864765/
2020 Tata ALTROZ,4.89 lakh,"EMI ₹8,641/m","29,773 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-altroz-2020-cars-noida-10520862700/
2018 Datsun Go,1.52 lakh,"EMI ₹3,381/m","1,00,243 km",Petrol,Manual,https://www.cars24.com/buy-used-datsun-go-2018-cars-noida-10010132792/
2018 Jeep Compass,5.88 lakh,"EMI ₹10,380/m","39,027 km",Petrol,Manual,https://www.cars24.com/buy-used-jeep-compass-2018-cars-new-delhi-10029162748/
2020 KIA SELTOS,9.50 lakh,"EMI ₹16,266/m","16,459 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-seltos-2020-cars-new-delhi-10061961739/
2020 Honda Amaze,3.79 lakh,"EMI ₹6,690/m","83,769 km",CNG,Manual,https://www.cars24.com/buy-used-honda-amaze-2020-cars-gurgaon-10108560723/
2022 MG HECTOR,12.49 lakh,"EMI ₹21,386/m","53,227 km",Petrol,Auto,https://www.cars24.com/buy-used-mg-hector-2022-cars-gurgaon-10192063708/
2023 Maruti BREZZA,7.24 lakh,"EMI ₹12,781/m","45,821 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-brezza-2023-cars-ghaziabad-10080960743/
