name,price,emi,kilometer,fuel,transmission,link
2015 Hyundai Elite i20,4.42 lakh,"EMI ₹14,686/m","94,041 km",Diesel,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-hyderabad-10478166709/
2019 Maruti Alto 800,2.70 lakh,"EMI ₹5,281/m","38,323 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-alto-800-2019-cars-hyderabad-10427261704/
2015 Tata Zest,3.46 lakh,"EMI ₹11,480/m","70,407 km",Diesel,Manual,https://www.cars24.com/buy-used-tata-zest-2015-cars-hyderabad-10458060760/
2014 Maruti Swift Dzire,2.99 lakh,"EMI ₹9,931/m","1,16,630 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-dzire-2014-cars-hyderabad-10420268704/
2016 Volkswagen Vento,4.57 lakh,"EMI ₹10,165/m","73,081 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-vento-2016-cars-hyderabad-10431662704/
2020 Ford FREESTYLE,4.05 lakh,"EMI ₹7,149/m","58,368 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-freestyle-2020-cars-hyderabad-10486660781/
2020 Tata Tiago,4.42 lakh,"EMI ₹7,798/m","85,534 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-tiago-2020-cars-hyderabad-10470164731/
2023 Honda ELEVATE,11.51 lakh,"EMI ₹19,708/m","54,155 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-elevate-2023-cars-hyderabad-10491062704/
2014 Maruti Wagon R Stingray,2.30 lakh,"EMI ₹7,639/m","92,797 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-stingray-2014-cars-hyderabad-10480764741/
2021 Renault Kiger,5.11 lakh,"EMI ₹9,021/m","42,389 km",Petrol,Auto,https://www.cars24.com/buy-used-renault-kiger-2021-cars-hyderabad-10401365741/
2022 Hyundai GRAND I10 NIOS,4.85 lakh,"EMI ₹8,562/m","80,636 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2022-cars-hyderabad-10485764728/
2021 Nissan MAGNITE,5.94 lakh,"EMI ₹10,493/m","33,105 km",Petrol,Auto,https://www.cars24.com/buy-used-nissan-magnite-2021-cars-hyderabad-10499960746/
2016 Volkswagen Ameo,3.75 lakh,"EMI ₹8,331/m","78,314 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-ameo-2016-cars-hyderabad-10484668781/
2016 Ford Ecosport,4.30 lakh,"EMI ₹11,324/m","86,474 km",Diesel,Manual,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-hyderabad-10444169748/
2019 Maruti Swift,5.45 lakh,"EMI ₹9,621/m","75,971 km",Diesel,Auto,https://www.cars24.com/buy-used-maruti-swift-2019-cars-hyderabad-10223768729/
2013 Maruti Alto 800,1.37 lakh,"EMI ₹6,449/m","60,434 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-800-2013-cars-hyderabad-10493864782/
2015 Maruti Alto 800,1.60 lakh,"EMI ₹4,213/m","37,684 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-800-2015-cars-hyderabad-13019564796/
2015 Ford Figo Aspire,1.91 lakh,"EMI ₹5,017/m","1,07,754 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-figo-aspire-2015-cars-hyderabad-10433304748/
2017 Ford Ecosport,5.26 lakh,"EMI ₹10,278/m","51,929 km",Petrol,Auto,https://www.cars24.com/buy-used-ford-ecosport-2017-cars-hyderabad-10461561732/
2018 Honda Jazz,4.50 lakh,"EMI ₹10,010/m","1,10,613 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-jazz-2018-cars-hyderabad-10456861727/
2017 Tata Tiago,2.54 lakh,"EMI ₹5,650/m","1,49,529 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2017-cars-hyderabad-10449863725/
2021 Honda Jazz,6.30 lakh,"EMI ₹11,116/m","96,218 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-jazz-2021-cars-hyderabad-10438661702/
2015 Datsun Go Plus,1.97 lakh,"EMI ₹5,198/m","80,669 km",Petrol,Manual,https://www.cars24.com/buy-used-datsun-go-plus-2015-cars-hyderabad-10471968786/
