name,price,emi,kilometer,fuel,transmission,link
2016 Renault Kwid,1.92 lakh,"EMI ₹4,281/m","76,709 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2016-cars-mumbai-10321366723/
2018 Nissan Micra,3.11 lakh,"EMI ₹5,487/m","53,328 km",Petrol,Auto,https://www.cars24.com/buy-used-nissan-micra-2018-cars-mumbai-10313565706/
2014 Honda Amaze,3.35 lakh,"EMI ₹15,747/m","17,758 km",Diesel,Manual,https://www.cars24.com/buy-used-honda-amaze-2014-cars-mumbai-10309963767/
2018 Jeep Compass,10.90 lakh,"EMI ₹18,663/m","28,492 km",Petrol,Auto,https://www.cars24.com/buy-used-jeep-compass-2018-cars-mumbai-10380969728/
2017 Maruti Baleno,3.82 lakh,"EMI ₹7,474/m","66,263 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-mumbai-10313869706/
2018 Mercedes Benz E Class,26.75 lakh,"EMI ₹50,916/m","58,692 km",Diesel,Auto,https://www.cars24.com/buy-used-mercedes-benz-e-class-2018-cars-mumbai-10342866740/
2015 Renault Kwid,1.61 lakh,"EMI ₹4,240/m","94,581 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2015-cars-mumbai-10317867746/
2016 Maruti Celerio,2.76 lakh,"EMI ₹6,144/m","30,056 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-celerio-2016-cars-mumbai-10338666762/
2018 Mercedes Benz E Class,27.75 lakh,"EMI ₹52,820/m","49,973 km",Diesel,Auto,https://www.cars24.com/buy-used-mercedes-benz-e-class-2018-cars-mumbai-10337660745/
2018 Jeep Compass,7.97 lakh,"EMI ₹14,071/m","28,126 km",Petrol,Auto,https://www.cars24.com/buy-used-jeep-compass-2018-cars-mumbai-10368863702/
2014 Honda Amaze,2.39 lakh,"EMI ₹7,938/m","70,106 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-amaze-2014-cars-mumbai-10308168744/
2021 Hyundai NEW I20 N LINE,6.65 lakh,"EMI ₹11,739/m","14,148 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-new-i20-n-line-2021-cars-mumbai-10340668791/
2020 MG HECTOR,8.71 lakh,"EMI ₹14,914/m","53,023 km",Petrol,Auto,https://www.cars24.com/buy-used-mg-hector-2020-cars-mumbai-10342467725/
2021 BMW X7,77.99 lakh,"EMI ₹133,538/m","40,603 km",Diesel,Auto,https://www.cars24.com/buy-used-bmw-x7-2021-cars-mumbai-10337066779/
2019 Skoda Octavia,9.74 lakh,"EMI ₹16,677/m","48,040 km",Petrol,Auto,https://www.cars24.com/buy-used-skoda-octavia-2019-cars-mumbai-10386469725/
2014 Maruti Swift Dzire,2.75 lakh,"EMI ₹9,134/m","34,579 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-dzire-2014-cars-mumbai-10362660741/
2022 Tata TIGOR,5.12 lakh,"EMI ₹9,044/m","24,977 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tigor-2022-cars-mumbai-10383467700/
2019 Tata NEXON,5.82 lakh,"EMI ₹10,271/m","73,158 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-nexon-2019-cars-mumbai-10386566707/
2019 Tata NEXON,4.88 lakh,"EMI ₹8,619/m","22,234 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-nexon-2019-cars-mumbai-10345460767/
2013 Maruti Wagon R 1.0,1.90 lakh,N/A,"91,178 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2013-cars-mumbai-10307561721/
2019 Ford Figo Aspire,3.97 lakh,"EMI ₹7,007/m","32,501 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-figo-aspire-2019-cars-mumbai-10342168749/
2019 Hyundai Creta,9.50 lakh,"EMI ₹16,266/m","46,498 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-creta-2019-cars-mumbai-10330368779/
2018 Volvo XC 60,28.90 lakh,"EMI ₹55,008/m","74,344 km",Diesel,Auto,https://www.cars24.com/buy-used-volvo-xc-60-2018-cars-mumbai-10318560726/
2021 Maruti New Wagon-R,4.26 lakh,"EMI ₹7,520/m","47,565 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-mumbai-10308861769/
2022 Toyota URBAN CRUISER,9.00 lakh,"EMI ₹15,410/m","47,299 km",Petrol,Auto,https://www.cars24.com/buy-used-toyota-urban-cruiser-2022-cars-mumbai-10312160721/
2017 Toyota Innova Crysta,16.45 lakh,"EMI ₹35,766/m","72,251 km",Diesel,Manual,https://www.cars24.com/buy-used-toyota-innova-crysta-2017-cars-mumbai-10377668742/
2019 Honda Jazz,5.20 lakh,"EMI ₹9,179/m","26,574 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-jazz-2019-cars-mumbai-10331260701/
2021 Maruti Vitara Brezza,8.49 lakh,"EMI ₹14,535/m","27,914 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-mumbai-10343663767/
2015 Jaguar XF,13.25 lakh,"EMI ₹34,245/m","36,442 km",Petrol,Auto,https://www.cars24.com/buy-used-jaguar-xf-2015-cars-mumbai-10379061711/
2016 Toyota Corolla Altis,4.15 lakh,"EMI ₹9,231/m","1,44,480 km",Petrol,Auto,https://www.cars24.com/buy-used-toyota-corolla-altis-2016-cars-mumbai-10367369719/
