name,price,emi,kilometer,fuel,transmission,link
2012 Hyundai i10,1.84 lakh,"EMI ₹16,350/m","52,930 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-i10-2012-cars-pune-10665668765/
2018 Maruti Wagon R 1.0,3.10 lakh,"EMI ₹5,472/m","41,948 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-pune-10659767764/
2014 Hyundai Xcent,2.80 lakh,"EMI ₹9,287/m","45,599 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-xcent-2014-cars-pune-10600566799/
2015 Tata Zest,2.60 lakh,"EMI ₹6,847/m","72,066 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-zest-2015-cars-pune-10603763738/
2019 Tata TIGOR,4.45 lakh,"EMI ₹7,855/m","65,942 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-tigor-2019-cars-pune-10654462740/
2015 Hyundai Xcent,3.10 lakh,"EMI ₹8,163/m","62,652 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-xcent-2015-cars-pune-10622862770/
2020 Hyundai NEW I20,5.92 lakh,"EMI ₹10,449/m","50,779 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-new-i20-2020-cars-pune-10672960706/
2022 Tata PUNCH,5.70 lakh,"EMI ₹10,060/m","43,839 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-punch-2022-cars-pune-10635001763/
2013 Maruti Swift,2.95 lakh,"EMI ₹13,887/m","1,11,240 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2013-cars-pune-10693061763/
2016 Maruti Ciaz,4.56 lakh,"EMI ₹10,151/m","49,723 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-ciaz-2016-cars-pune-10637463762/
2016 Renault Kwid,1.92 lakh,"EMI ₹4,264/m","98,773 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2016-cars-pune-10672962753/
2013 Hyundai i10,1.60 lakh,"EMI ₹7,532/m","62,707 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-i10-2013-cars-pune-10690463743/
2018 Renault Duster,4.67 lakh,"EMI ₹10,391/m","74,490 km",CNG,Auto,https://www.cars24.com/buy-used-renault-duster-2018-cars-pune-10686669709/
2018 Maruti Celerio,3.77 lakh,"EMI ₹6,652/m","84,991 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-celerio-2018-cars-pune-10631268701/
2019 Maruti Dzire,5.35 lakh,"EMI ₹9,444/m","22,335 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-dzire-2019-cars-pune-12443464728/
2015 Jaguar XF,13.50 lakh,"EMI ₹44,197/m","48,465 km",Diesel,Auto,https://www.cars24.com/buy-used-jaguar-xf-2015-cars-pune-10618760715/
2019 Tata NEXON,5.20 lakh,"EMI ₹9,176/m","87,349 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-nexon-2019-cars-pune-10603167723/
